Date,Hour,Active followers
2023-08-30,0,35107
2023-08-30,1,34571
2023-08-30,2,34340
2023-08-30,3,35018
2023-08-30,4,34143
2023-08-30,5,30654
2023-08-30,6,25224
2023-08-30,7,20310
2023-08-30,8,16411
2023-08-30,9,14066
2023-08-30,10,12994
2023-08-30,11,13842
2023-08-30,12,17057
2023-08-30,13,21751
2023-08-30,14,25206
2023-08-30,15,27240
2023-08-30,16,28740
2023-08-30,17,29913
2023-08-30,18,31174
2023-08-30,19,31981
2023-08-30,20,32088
2023-08-30,21,33144
2023-08-30,22,34338
2023-08-30,23,34896
2023-08-31,0,34832
2023-08-31,1,34462
2023-08-31,2,34362
2023-08-31,3,34923
2023-08-31,4,34313
2023-08-31,5,30550
2023-08-31,6,25278
2023-08-31,7,20352
2023-08-31,8,16397
2023-08-31,9,14120
2023-08-31,10,13173
2023-08-31,11,13708
2023-08-31,12,16727
2023-08-31,13,21451
2023-08-31,14,25413
2023-08-31,15,27267
2023-08-31,16,28993
2023-08-31,17,30382
2023-08-31,18,31404
2023-08-31,19,32174
2023-08-31,20,32575
2023-08-31,21,33451
2023-08-31,22,34515
2023-08-31,23,35219
2023-09-01,0,34710
2023-09-01,1,33943
2023-09-01,2,33602
2023-09-01,3,34556
2023-09-01,4,33882
2023-09-01,5,30393
2023-09-01,6,25142
2023-09-01,7,20208
2023-09-01,8,16530
2023-09-01,9,14032
2023-09-01,10,13183
2023-09-01,11,13967
2023-09-01,12,16940
2023-09-01,13,21671
2023-09-01,14,25531
2023-09-01,15,27391
2023-09-01,16,28767
2023-09-01,17,29574
2023-09-01,18,30878
2023-09-01,19,31455
2023-09-01,20,31813
2023-09-01,21,32789
2023-09-01,22,33732
2023-09-01,23,34075
2023-09-02,0,33593
2023-09-02,1,32740
2023-09-02,2,32433
2023-09-02,3,33050
2023-09-02,4,32753
2023-09-02,5,30135
2023-09-02,6,25218
2023-09-02,7,20514
2023-09-02,8,16621
2023-09-02,9,14240
2023-09-02,10,13142
2023-09-02,11,13700
2023-09-02,12,16494
2023-09-02,13,21310
2023-09-02,14,25118
2023-09-02,15,27260
2023-09-02,16,28828
2023-09-02,17,29574
2023-09-02,18,30483
2023-09-02,19,30813
2023-09-02,20,30959
2023-09-02,21,31845
2023-09-02,22,32625
2023-09-02,23,32903
2023-09-03,0,32563
2023-09-03,1,31159
2023-09-03,2,30479
2023-09-03,3,30352
2023-09-03,4,30059
2023-09-03,5,28629
2023-09-03,6,25307
2023-09-03,7,21257
2023-09-03,8,17763
2023-09-03,9,15521
2023-09-03,10,13936
2023-09-03,11,13335
2023-09-03,12,14222
2023-09-03,13,17441
2023-09-03,14,22394
2023-09-03,15,26871
2023-09-03,16,29863
2023-09-03,17,31010
2023-09-03,18,31340
2023-09-03,19,31429
2023-09-03,20,31035
2023-09-03,21,30820
2023-09-03,22,31114
2023-09-03,23,31422
2023-09-04,0,31249
2023-09-04,1,30890
2023-09-04,2,30202
2023-09-04,3,30189
2023-09-04,4,29952
2023-09-04,5,28724
2023-09-04,6,25512
2023-09-04,7,21419
2023-09-04,8,17819
2023-09-04,9,15528
2023-09-04,10,14439
2023-09-04,11,13785
2023-09-04,12,14257
2023-09-04,13,16806
2023-09-04,14,21655
2023-09-04,15,26489
2023-09-04,16,29714
2023-09-04,17,31224
2023-09-04,18,32348
2023-09-04,19,32807
2023-09-04,20,32901
2023-09-04,21,32893
2023-09-04,22,33747
2023-09-04,23,33745
2023-09-05,0,32962
2023-09-05,1,32146
2023-09-05,2,31457
2023-09-05,3,31793
2023-09-05,4,31611
2023-09-05,5,30506
2023-09-05,6,27155
2023-09-05,7,22995
2023-09-05,8,19188
2023-09-05,9,16005
2023-09-05,10,14005
2023-09-05,11,13305
2023-09-05,12,13715
2023-09-05,13,16579
2023-09-05,14,21555
2023-09-05,15,26714
2023-09-05,16,30635
2023-09-05,17,33235
2023-09-05,18,34511
2023-09-05,19,34776
2023-09-05,20,34446
2023-09-05,21,35215
2023-09-05,22,35502
2023-09-05,23,35557
